context,verse_id,answer,entity_type
کسانی که مکلف به تورات شدند ولی حق آن را ادا نکردند، مانند درازگوشی هستند که کتابهایی حمل می‌کند، ! گروهی که آیات خدا را انکار کردند مثال بدی دارند، و خداوند قوم ستمگر را هدایت نمی‌کند!,s62.5,درازگوش,animals
یا همانند کسی که از کنار یک آبادی  عبور کرد، در حالی که دیوارهای آن، به روی سقفها فرو ریخته بود،  گفت: «چگونه خدا اینها را پس از مرگ، زنده می‌کند؟!»  خدا او را یکصد سال میراند؛ سپس زنده کرد؛ و به او گفت: «چه‌قدر درنگ کردی؟» گفت: «یک روز؛ یا بخشی از یک روز.» فرمود: «نه، بلکه یکصد سال درنگ کردی! نگاه کن به غذا و نوشیدنی خود  هیچ‌گونه تغییر نیافته است!  ولی به الاغ خود نگاه کن  برای اینکه تو را نشانه‌ای برای مردم  قرار دهیم.  به استخوانها  بر او آشکار شد، گفت: «می‌دانم خدا بر هر کاری توانا است».,s2.259,الاغ,animals
همچنین اسبها و استرها و الاغها را آفرید؛ تا بر آنها سوار شوید و زینت شما باشد، و چیزهایی می‌آفریند که نمی‌دانید.,s16.8,الاغ,animals
 در راه‌رفتن، اعتدال را رعایت کن؛ از صدای خود بکاه  که زشت‌ترین صداها صدای خران است.,s31.19,خران,animals
گویی گورخرانی رمیده‌اند،,s74.50,خران,animals
و  هنگامی را که موسی به قوم خود گفت: «خداوند به شما دستور می‌دهد ماده‌گاوی را ذبح کنید » گفتند: «آیا ما را مسخره می‌کنی؟»  گفت: «به خدا پناه می‌برم از اینکه از جاهلان باشم!»,s2.67,گاو,animals
گفتند: « از خدای خود بخواه که برای ما روشن کند این ماده‌گاو چگونه ماده‌گاوی باشد؟» گفت: خداوند می‌فرماید: «ماده‌گاوی است که نه پیر و از کار افتاده باشد، و نه بکر و جوان؛ بلکه میان این دو باشد. آنچه به شما دستور داده شده،  انجام دهید.»,s2.68,گاو,animals
گفتند: «از پروردگار خود بخواه که برای ما روشن سازد رنگ آن چگونه باشد؟ «گفت: خداوند می‌گوید: «گاوی باشد زرد یکدست، که رنگ آن، بینندگان را شاد و مسرور سازد.»,s2.69,گاو,animals
گفتند: «از خدایت بخواه برای ما روشن کند که چگونه گاوی باید باشد؟ زیرا این گاو برای ما مبهم شده! و اگر خدا بخواهد ما هدایت خواهیم شد!»,s2.70,گاو,animals
گفت: خداوند می‌فرماید: «گاوی باشد که نه برای شخم زدن رام شده؛ و نه برای زراعت آبکشی کند؛ از هر عیبی برکنار باشد، و حتی هیچ‌گونه رنگ دیگری در آن نباشد.» گفتند: «الان حق مطلب را آوردی!» سپس  آن را سر بریدند؛ ولی مایل نبودند این کار را انجام دهند.,s2.71,گاو,animals
سپس گفتیم: «قسمتی از گاو را به مقتول بزنید!  خداوند این‌گونه مردگان را زنده می‌کند؛ و آیات خود را به شما نشان می‌دهد؛ شاید اندیشه کنید!»,s2.73,گاو,animals
و از شتر یک جفت، و از گاو هم یک جفت ؛ بگو: «کدامیک از اینها را خدا حرام کرده است؟ نرها یا ماده‌ها را؟ یا آنچه را شکم ماده‌ها دربرگرفته؟ یا هنگامی که خدا شما را به این موضوع توصیه کرد، شما گواه  بودید؟! پس چه کسی ستمکارتر است از آن کس که بر خدا دروغ می‌بندد، تا مردم را از روی جهل گمراه سازد؟! خداوند هیچ گاه ستمگران را هدایت نمی‌کند»,s6.144,گاو,animals
و بر یهودیان، هر حیوان ناخن‌دار  را حرام کردیم؛ و از گاو و گوسفند، پیه و چربیشان را بر آنان تحریم نمودیم؛ مگر چربیهایی که بر پشت آنها قرار دارد، و یا در دو طرف پهلوها، و یا آنها که با استخوان آمیخته است؛ این را بخاطر ستمی که می‌کردند به آنها کیفر دادیم؛ و ما راست می‌گوییم.,s6.146,گاو,animals
پادشاه گفت: «من در خواب دیدم هفت گاو چاق را که هفت گاو لاغر آنها را می‌خورند؛ و هفت خوشه سبز و هفت خوشه خشکیده؛  ای جمعیّت اشراف! درباره خواب من نظر دهید، اگر خواب را تعبیر می‌کنید!»,s12.43,گاو,animals
 یوسف، ای مرد بسیار راستگو! درباره این خواب اظهار نظر کن که هفت گاو چاق را هفت گاو لاغر می‌خورند؛ و هفت خوشه تر، و هفت خوشه خشکیده؛ تا من بسوی مردم بازگردم، شاید  آگاه شوند!,s12.46,گاو,animals
