context,verse_id,answer,entity_type
و هنگامی که به آنان گفته شود: «در زمین فساد نکنید» می‌گویند: «ما فقط اصلاح‌کننده‌ایم»!,s2.11,زمین,astronomical
آن کس که زمین را بستر شما، و آسمان  را همچون سقفی بالای سر شما قرار داد؛ و از آسمان آبی فرو فرستاد؛ و به وسیله آن، میوه‌ها را پرورش داد؛ تا روزی شما باشد. بنابر این، برای خدا همتایانی قرار ندهید، در حالی که می‌دانید .,s2.22,زمین,astronomical
فاسقان کسانی هستند که پیمان خدا را، پس از محکم ساختن آن، میشکنند؛ و پیوندهایی را که خدا دستور داده برقرار سازند، قطع نموده، و در روی زمین فساد میکنند؛ اینها زیانکارانند.,s2.27,زمین,astronomical
او خدایی است که همه آنچه را  در زمین وجود دارد، برای شما آفرید؛ سپس به آسمان پرداخت؛ و آنها را به صورت هفت آسمان مرتب نمود؛ و او به هر چیز آگاه است.,s2.29,زمین,astronomical
 هنگامی را که پروردگارت به فرشتگان گفت: «من در روی زمین، جانشینی  قرار خواهم داد.» فرشتگان گفتند: «پروردگارا!» آیا کسی را در آن قرار می‌دهی که فساد و خونریزی کند؟!  ما تسبیح و حمد تو را بجا می‌آوریم، و تو را تقدیس می‌کنیم.» پروردگار فرمود: «من حقایقی را می‌دانم که شما نمی‌دانید.»,s2.30,زمین,astronomical
فرمود: «ای آدم! آنان را از اسامی  این موجودات آگاه کن.» هنگامی که آنان را آگاه کرد، خداوند فرمود: «آیا به شما نگفتم که من، غیب آسمانها و زمین را میدانم؟! و نیز میدانم آنچه را شما آشکار میکنید، و آنچه را پنهان میداشتید!»,s2.33,زمین,astronomical
پس شیطان موجب لغزش آنها از بهشت شد؛ و آنان را از آنچه در آن بودند، بیرون کرد. و  به آنها گفتیم: «همگی  فرود آیید! در حالی که بعضی دشمن دیگری خواهید بود. و برای شما در زمین، تا مدت معینی قرارگاه و وسیله بهره برداری خواهد بود.»,s2.36,زمین,astronomical
و  زمانی را که موسی برای قوم خویش، آب طلبید، به او دستور دادیم: «عصای خود را بر آن سنگ مخصوص بزن!» ناگاه دوازده چشمه آب از آن جوشید؛ آن‌گونه که هر یک ، چشمه مخصوص خود را می‌شناختند!  «از روزیهای الهی بخورید و بیاشامید! و در زمین فساد نکنید!»,s2.60,زمین,astronomical
و  زمانی را که گفتید: «ای موسی! هرگز حاضر نیستیم به یک نوع غذا اکتفا کنیم! از خدای خود بخواه که از آنچه زمین می‌رویاند، از سبزیجات و خیار و سیر و عدس و پیازش، برای ما فراهم سازد.» موسی گفت: «آیا غذای پست‌تر را به جای غذای بهتر انتخاب می‌کنید؟!  در شهری فرود آئید؛ زیرا هر چه خواستید، در آنجا برای شما هست.» و  ذلت و نیاز، بر پیشانی آنها زده شد؛ و باز گرفتار خشم خدائی شدند؛ چرا که آنان نسبت به آیات الهی، کفر می‌ورزیدند؛ و پیامبران را به ناحق می‌کشتند. اینها به خاطر آن بود که گناهکار و متجاوز بودند.,s2.61,زمین,astronomical
و هنگامی را که از شما پیمان گرفتیم که خون هم را نریزید؛ و یکدیگر را از سرزمین خود، بیرون نکنید. سپس شما اقرار کردید؛  گواه بودید.,s2.84,زمین,astronomical
