context,verse_id,answer,entity_type
 بگو: «کسی که دشمن جبرئیل باشد  چرا که او به فرمان خدا، قرآن را بر قلب تو نازل کرده است؛ در حالی که کتب آسمانی پیشین را تصدیق می‌کند؛ و هدایت و بشارت است برای مؤمنان.»,s2.97,قرآن,books
 ماهِ رمضان است؛ ماهی که قرآن، برای راهنمایی مردم، و نشانه‌های هدایت، و فرق میان حق و باطل، در آن نازل شده است. پس آن کس از شما که در ماه رمضان در حضر باشد، روزه بدارد! و آن کس که بیمار یا در سفر است، روزهای دیگری را به جای آن، روزه بگیرد! خداوند، راحتی شما را می‌خواهد، نه زحمت شما را! هدف این است که این روزها را تکمیل کنید؛ و خدا را بر اینکه شما را هدایت کرده، بزرگ بشمرید؛ باشد که شکرگزاری کنید!,s2.185,قرآن,books
آیا درباره قرآن نمی‌اندیشند؟! اگر از سوی غیر خدا بود، اختلاف فراوانی در آن می‌یافتند.,s4.82,قرآن,books
از تو درباره حکم زنان سؤال می‌کنند؛ بگو: «خداوند درباره آنان به شما پاسخ می دهد: آنچه در قرآن درباره زنان یتیمی که حقوقشان را به آنها نمی‌دهید، و می‌خواهید با آنها ازدواج کنید، و نیز آنچه درباره کودکان صغیر و ناتوان برای شما بیان شده است،  با یتیمان به عدالت رفتار کنید! و آنچه از نیکیها انجام می‌دهید؛ خداوند از آن آگاه است .,s4.127,قرآن,books
و خداوند  در قرآن بر شما نازل کرده که هرگاه بشنوید افرادی آیات خدا را انکار و استهزا می‌کنند، با آنها ننشینید تا به سخن دیگری بپردازند! وگرنه، شما هم مثل آنان خواهید بود. خداوند، منافقان و کافران را همگی در دوزخ جمع می‌کند.,s4.140,قرآن,books
ای کسانی که ایمان آورده‌اید! از چیزهایی نپرسید که اگر برای شما آشکار گردد، شما را ناراحت می‌کند! و اگر به هنگام نزول قرآن، از آنها سؤال کنید، برای شما آشکار می‌شود؛ خداوند آنها را بخشیده  است. و خداوند، آمرزنده و بردبار است.,s5.101,قرآن,books
بگو: «بالاترین گواهی، گواهی کیست؟»  بگو: «خداوند، گواه میان من و شماست؛ و  این قرآن بر من وحی شده، تا شما و تمام کسانی را که این قرآن به آنها می‌رسد، بیم دهم . آیا براستی شما گواهی می‌دهید که معبودان دیگری با خداست؟!» بگو: «من هرگز چنین گواهی نمی‌دهم». بگو: «اوست تنها معبود یگانه؛ و من از آنچه برای او شریک قرارمی‌دهید، بیزارم!»,s6.19,قرآن,books
هنگامی که قرآن خوانده شود، گوش فرا دهید و خاموش باشید؛ شاید مشمول رحمت خدا شوید!,s7.204,قرآن,books
خداوند از مؤمنان، جانها و اموالشان را خریداری کرده، که  بهشت برای آنان باشد؛  در راه خدا پیکار می‌کنند، می‌کشند و کشته می‌شوند؛ این وعده حقّی است بر او، که در تورات و انجیل و قرآن ذکر فرموده؛ و چه کسی از خدا به عهدش وفادارتر است؟! اکنون بشارت باد بر شما، به داد و ستدی که با خدا کرده‌اید؛ و این است آن پیروزی بزرگ!,s9.111,قرآن,books
و هنگامی که آیات روشن ما بر آنها خوانده می‌شود، کسانی که ایمان به لقای ما  ندارند می‌گویند: «قرآنی غیر از این بیاور، یا آن را تبدیل کن! » بگو: «من حق ندارم که از پیش خود آن را تغییر دهم؛ فقط از چیزی که بر من وحی می‌شود، پیروی می‌کنم! من اگر پروردگارم را نافرمانی کنم، از مجازات روز بزرگ  می‌ترسم!»,s10.15,قرآن,books
