context,verse_id,answer,entity_type
یهودیان گفتند: «مسیحیان هیچ موقعیتی  ندارند»، و مسیحیان نیز گفتند: «یهودیان هیچ موقعیتی ندارند »؛ در حالی که هر دو دسته، کتاب آسمانی را می‌خوانند  افراد نادان  نیز، سخنی همانند سخن آنها داشتند! خداوند، روز قیامت، در باره آنچه در آن اختلاف داشتند، داوری می‌کند.,s2.113,قیامت,events
کسانی که کتمان می‌کنند آنچه را خدا از کتاب نازل کرده، و آن را به بهای کمی می‌فروشند، آنها جز آتش چیزی نمی‌خورند؛  و خداوند، روز قیامت، با آنها سخن نمی‌گوید؛ و آنان را پاکیزه نمی‌کند؛ و برای آنها عذاب دردناکی است.,s2.174,قیامت,events
زندگی دنیا برای کافران زینت داده شده است، از این‌رو افراد باایمان را ، مسخره می‌کنند؛ در حالی که پرهیزگاران در قیامت، بالاتر از آنان هستند؛  و خداوند، هر کس را بخواهد بدون حساب روزی می‌دهد.,s2.212,قیامت,events
و هنگامی که زنان را طلاق دادید و عدّه خود را به پایان رساندند، مانع آنها نشوید که با همسران  خویش، ازدواج کنند! اگر در میان آنان، به طرز پسندیده‌ای تراضی برقرار گردد. این دستوری است که تنها افرادی از شما، که ایمان به خدا و روز قیامت دارند، از آن، پند می‌گیرند . این ، برای رشد  شما مؤثرتر، و برای شستن آلودگیها مفیدتر است؛ و خدا می‌داند و شما نمی‌دانید.,s2.232,قیامت,events
کسانی که پیمان الهی و سوگندهای خود  را به بهای ناچیزی می‌فروشند، آنها بهره‌ای در آخرت نخواهند داشت؛ و خداوند با آنها سخن نمی‌گوید و به آنان در قیامت نمی‌نگرد و آنها را  پاک نمی‌سازد؛ و عذاب دردناکی برای آنهاست.,s3.77,قیامت,events
کسانی که بخل می‌ورزند، و آنچه را خدا از فضل خویش به آنان داده، انفاق نمی‌کنند، گمان نکنند این کار به سود آنها است؛ بلکه برای آنها شر است؛ بزودی در روز قیامت، آنچه را نسبت به آن بخل ورزیدند، همانند طوقی به گردنشان می‌افکنند. و میراث آسمانها و زمین، از آن خداست؛ و خداوند، از آنچه انجام می‌دهید، آگاه است.,s3.180,قیامت,events
هر کسی مرگ را می‌چشد؛ و شما پاداش خود را بطور کامل در روز قیامت خواهید گرفت؛ آنها که از آتش  دور شده، و به بهشت وارد شوند نجات یافته و رستگار شده‌اند و زندگی دنیا، چیزی جز سرمایه فریب نیست!,s3.185,قیامت,events
و هیچ یک از اهل کتاب نیست مگر اینکه پیش از مرگش به او  ایمان می‌آورد؛ و روز قیامت، بر آنها گواه خواهد بود.,s4.159,قیامت,events
ولی راسخانِ در علم از آنها، و مؤمنان  به تمام آنچه بر تو نازل شده، و آنچه پیش از تو نازل گردیده، ایمان می‌آورند.  نمازگزاران و زکات‌دهندگان و ایمان‌آورندگان به خدا و روز قیامت، بزودی به همه آنان پاداش عظیمی خواهیم داد.,s4.162,قیامت,events
و از کسانی که ادّعای نصرانیّت  داشتند  پیمان گرفتیم؛ ولی آنها قسمت مهمّی را از آنچه به آنان تذکّر داده شده بود فراموش کردند؛ از این رو در میان آنها، تا دامنه قیامت، عداوت و دشمنی افکندیم. و خداوند،  آنها را از آنچه انجام می‌دادند ، آگاه خواهد ساخت.,s5.14,قیامت,events
بیقین کسانی که کافر شدند، اگر تمام آنچه روی زمین است و همانند آن، مال آنها باشد و همه آن را برای نجات از کیفر روز قیامت بدهند، از آنان پذیرفته نخواهد شد؛ و مجازات دردناکی خواهند داشت.,s5.36,قیامت,events
و یهود گفتند: «دست خدا  بسته است.» دستهایشان بسته باد! و بخاطر این سخن، از رحمت  دور شوند! بلکه هر دو دست  او، گشاده است؛ هرگونه بخواهد، می‌بخشد! ولی این آیات، که از طرف پروردگارت بر تو نازل شده، بر طغیان و کفر بسیاری از آنها می‌افزاید. و ما در میان آنها تا روز قیامت عداوت و دشمنی افکندیم. هر زمان آتش جنگی افروختند، خداوند آن را خاموش ساخت؛ و برای فساد در زمین، تلاش می‌کنند؛ و خداوند، مفسدان را دوست ندارد.,s5.64,قیامت,events
بگو: «آنچه در آسمانها و زمین است، از آن کیست؟» بگو: «از آن خداست؛ رحمت  را بر خود، حتم کرده؛  بطور قطع همه شما را در روز قیامت، که در آن شکّ و تردیدی نیست، گرد خواهد آورد.  فقط کسانی که سرمایه‌های وجود خویش را از دست داده و گرفتار خسران شدند، ایمان نمی‌آورند.,s6.12,قیامت,events
آنها که لقای پروردگار را تکذیب کردند، مسلماً زیان دیدند؛  تا هنگامی که ناگهان قیامت به سراغشان بیاید؛ می‌گویند: «ای افسوس بر ما که درباره آن، کوتاهی کردیم!» و آنها  گناهانشان را بر دوش می‌کشند؛ چه بد باری بر دوش خواهند داشت!,s6.31,قیامت,events
نتیجه  این خواهد شد که دلهای منکران قیامت، به آنها متمایل گردد؛ و به آن راضی شوند؛ و هر گناهی که بخواهند، انجام دهند!,s6.113,قیامت,events
بگو: «چه کسی زینتهای الهی را که برای بندگان خود آفریده، و روزیهای پاکیزه را حرام کرده است؟!» بگو: «اینها در زندگی دنیا، برای کسانی است که ایمان آورده‌اند؛  در قیامت، خالص  خواهد بود.» این گونه آیات  را برای کسانی که آگاهند، شرح می‌دهیم!,s7.32,قیامت,events
و  هنگامی را که پروردگارت اعلام کرد: تا دامنه قیامت، کسی را بر آنها مسلّط خواهد ساخت که همواره آنها را در عذاب سختی قرار دهد؛ زیرا پروردگارت مجازاتش سریع،  آمرزنده و مهربان است.,s7.167,قیامت,events
درباره قیامت از تو سؤال می‌کنند، کی فرامی‌رسد؟! بگو: «علمش فقط نزد پروردگار من است؛ و هیچ‌کس جز او  وقت آن را آشکار سازد؛  در آسمانها و زمین، سنگین  است؛ و جز بطور ناگهانی، به سراغ شما نمی‌آید!»  از تو سؤال می‌کنند، چنان که گویی تو از زمان وقوع آن باخبری! بگو: «علمش تنها نزد خداست؛ ولی بیشتر مردم نمی‌دانند.»,s7.187,قیامت,events
مساجد خدا را تنها کسی آباد می‌کند که ایمان به خدا و روز قیامت آورده، و نماز را برپا دارد، و زکات را بپردازد، و جز از خدا نترسد؛ امید است چنین گروهی از هدایت‌یافتگان باشند.,s9.18,قیامت,events
آیا سیراب کردن حجاج، و آباد ساختن مسجد الحرام را، همانند  کسی قرار دادید که به خدا و روز قیامت ایمان آورده، و در راه او جهاد کرده است؟!  نزد خدا مساوی نیستند! و خداوند گروه ظالمان را هدایت نمی‌کند!,s9.19,قیامت,events
 بنی اسرائیل را در جایگاه صدق  منزل دادیم؛ و از روزیهای پاکیزه به آنها عطا کردیم؛  و اختلاف نکردند، مگر بعد از آنکه علم و آگاهی به سراغشان آمد! پروردگار تو روز قیامت، در آنچه اختلاف می‌کردند، میان آنها داوری می‌کند!,s10.93,قیامت,events
آنان، در این دنیا و روز قیامت، لعنت  بدنبال دارند! بدانید «عاد» نسبت به پروردگارشان کفر ورزیدند! دور باد «عاد» -قوم هود- !,s11.60,قیامت,events
روز قیامت، او در پیشاپیش قومش خواهد بود؛ و  آنها را وارد آتش می‌کند! و چه بد آبشخوری است ، که بر آن وارد می‌شوند!,s11.98,قیامت,events
آنان در این جهان و روز قیامت، لعنتی بدنبال دارند؛ و چه بد عطایی است ، که نصیب آنان می‌شود!,s11.99,قیامت,events
و لعنت  تا روز قیامت بر تو خواهد بود!»,s15.35,قیامت,events
آنها باید روز قیامت،  بار گناهان خود را بطور کامل بر دوش کشند؛ و هم سهمی از گناهان کسانی که بخاطر جهل، گمراهشان می‌سازند! بدانید آنها بار سنگین بدی بر دوش می‌کشند!,s16.25,قیامت,events
سپس روز قیامت خدا آنها را رسوا می‌سازد؛ و می‌گوید: «شریکانی که شما برای من ساختید، و بخاطر آنها با دیگران دشمنی می‌کردید، کجا هستند؟!»  کسانی که به آنها علم داده شده می‌گویند: «رسوایی و بدبختی، امروز بر کافران است!»,s16.27,قیامت,events
غیب آسمانها و زمین، مخصوص خداست ؛ و امر قیامت  درست همانند چشم برهم زدن، و یا از آن هم نزدیکتر؛ چرا که خدا بر هر چیزی تواناست!,s16.77,قیامت,events
همانند آن زن  نباشید که پشمهای تابیده خود را، پس از استحکام، وامی‌تابید! در حالی که  خود را وسیله خیانت و فساد قرار می‌دهید؛ بخاطر اینکه گروهی، جمعیّتشان از گروه دیگر بیشتر است ! خدا فقط شما را با این وسیله آزمایش می‌کند؛ و به یقین روز قیامت، آنچه را در آن اختلاف داشتید، برای شما روشن می‌سازد!,s16.92,قیامت,events
 روز شنبه  فقط بعنوان یک مجازات بود، که در آن هم اختلاف کردند؛ و پروردگارت روز قیامت، در آنچه اختلاف داشتند، میان آنها داوری می‌کند!,s16.124,قیامت,events
و اینکه آنها که به قیامت ایمان نمی‌آورند، عذاب دردناکی برای آنان آماده ساخته‌ایم.,s17.10,قیامت,events
و هر انسانی، اعمالش را بر گردنش آویخته‌ایم؛ و روز قیامت، کتابی برای او بیرون می‌آوریم که آن را در برابر خود، گشوده می‌بیند! ,s17.13,قیامت,events
هیچ شهر و آبادی نیست مگر اینکه آن را پیش از روز قیامت هلاک می‌کنیم؛ یا  به عذاب شدیدی گرفتارشان خواهیم ساخت؛ این، در کتاب الهی  ثبت است.,s17.58,قیامت,events
 گفت: «به من بگو، این کسی را که بر من برتری داده‌ای  اگر مرا تا روز قیامت زنده بگذاری، همه فرزندانش را، جز عده کمی، گمراه و ریشه‌کن خواهم ساخت!»,s17.62,قیامت,events
هر کس را خدا هدایت کند، هدایت یافته واقعی اوست؛ و هر کس را  گمراه سازد، هادیان و سرپرستانی غیر خدا برای او نخواهی یافت؛ و روز قیامت، آنها را بر صورتهایشان محشور می‌کنیم، در حالی که نابینا و گنگ و کرند؛ جایگاهشان دوزخ است؛ هر زمان آتش آن فرونشیند، شعله تازه‌ای بر آنان می‌افزاییم!,s17.97,قیامت,events
و اینچنین مردم را متوّجه حال آنها کردیم، تا بدانند که وعده خداوند  حقّ است؛ و در پایان جهان و قیام قیامت شکّی نیست! در آن هنگام که میان خود درباره کار خویش نزاع داشتند، گروهی می‌گفتند: «بنایی بر آنان بسازید  پروردگارشان از وضع آنها آگاهتر است!» ولی آنها که از رازشان آگاهی یافتند  گفتند: «ما مسجدی در کنار  آنها می‌سازیم »,s18.21,قیامت,events
و باور نمی‌کنم قیامت برپا گردد! و اگر به سوی پروردگارم بازگردانده شوم ، جایگاهی بهتر از این جا خواهم یافت!»,s18.36,قیامت,events
آنها کسانی هستند که به آیات پروردگارشان و لقای او کافر شدند؛ به همین جهت، اعمالشان حبط و نابود شد! از این رو روز قیامت، میزانی برای آنها برپا نخواهیم کرد!,s18.105,قیامت,events
سوگند به پروردگارت که همه آنها را همراه با شیاطین در قیامت جمع می‌کنیم؛ سپس همه را -در حالی که به زانو درآمده‌اند- گرداگرد جهنم حاضر می‌سازیم.,s19.68,قیامت,events
بگو: «کسی که در گمراهی است، باید خداوند به او مهلت دهد تا زمانی که وعده الهی را با چشم خود ببینند: یا عذاب ، یا  قیامت!  خواهند دانست چه کسی جایش بدتر، و لشکرش ناتوانتر است!»,s19.75,قیامت,events
هر کس از آن روی گردان شود، روز قیامت بار سنگینی  بر دوش خواهد داشت!,s20.100,قیامت,events
در حالی که جاودانه در آن خواهند ماند؛ و بد باری است برای آنها در روز قیامت!,s20.101,قیامت,events
و هر کس از یاد من روی گردان شود، زندگی  تنگی خواهد داشت؛ و روز قیامت، او را نابینا محشور می‌کنیم!»,s20.124,قیامت,events
ما ترازوهای عدل را در روز قیامت برپا می‌کنیم؛ پس به هیچ کس کمترین ستمی نمی‌شود؛ و اگر بمقدار سنگینی یک دانه خردل  باشد، ما آن را حاضر می‌کنیم؛ و کافی است که ما حساب‌کننده باشیم!,s21.47,قیامت,events
همانان که از پروردگارشان در نهان می‌ترسند، و از قیامت بیم دارند!,s21.49,قیامت,events
آنها با تکبّر و بی‌اعتنایی ، می‌خواهند مردم را از راه خدا گمراه سازند! برای آنان در دنیا رسوایی است؛ و در قیامت، عذاب سوزان به آنها می‌چشانیم!,s22.9,قیامت,events
مسلّماً کسانی که ایمان آورده‌اند، و یهود و صابئان  و نصاری و مجوس و مشرکان، خداوند در میان آنان روز قیامت داوری می‌کند؛  خداوند بر هر چیز گواه  است.,s22.17,قیامت,events
کافران همواره در باره قرآن در شکّ هستند، تا آنکه روز قیامت بطور ناگهانی فرارسد، یا عذاب روز عقیم  به سراغشان آید!,s22.55,قیامت,events
و خداوند در روز قیامت، میان شما در آنچه اختلاف می‌کردید، داوری می‌کند!»,s22.69,قیامت,events
سپس در روز قیامت برانگیخته می‌شوید!,s23.16,قیامت,events
 بلکه آنان قیامت را تکذیب کرده‌اند؛ و ما برای کسی که قیامت را تکذیب کند، آتشی شعله‌ور و سوزان فراهم کرده‌ایم!,s25.11,قیامت,events
عذاب او در قیامت مضاعف می‌گردد، و همیشه با خواری در آن خواهد ماند!,s25.69,قیامت,events
پروردگار تو میان آنها در قیامت به حکم خود داوری می‌کند؛ و اوست قادر دانا.,s27.78,قیامت,events
و در این دنیا نیز لعنتی بدنبال آنان قرار دادیم؛ و روز قیامت از زشت‌رویانند!,s28.42,قیامت,events
آیا کسی که به او وعده نیکو داده‌ایم و به آن خواهد رسید، همانند کسی است که متاع زندگی دنیا به او داده‌ایم سپس روز قیامت  از احضارشدگان خواهد بود؟!,s28.61,قیامت,events
بگو: «به من خبر دهید اگر خداوند شب را تا قیامت بر شما جاودان سازد، آیا معبودی جز خدا می‌تواند روشنایی برای شما بیاورد؟! آیا نمی‌شنوید؟!»,s28.71,قیامت,events
بگو: «به من خبر دهید اگر خداوند روز را تا قیامت بر شما جاودان کند، کدام معبود غیر از خداست که شبی برای شما بیاورد تا در آن آرامش یابید؟ آیا نمی‌بینید؟!»,s28.72,قیامت,events
آنها بار سنگین  خویش را بر دوش می‌کشند، و  بارهای سنگین دیگری را اضافه بر بارهای سنگین خود؛ و روز قیامت به یقین از تهمتهائی که می‌بستند سؤال خواهند شد!,s29.13,قیامت,events
 گفت: «شما غیر از خدا بتهایی برای خود انتخاب کرده‌اید که مایه دوستی و محبت میان شما در زندگی دنیا باشد؛ سپس روز قیامت از یکدیگر بیزاری می‌جویید و یکدیگر را لعن می‌کنید؛ و جایگاه  شما آتش است و هیچ یار و یاوری برای شما نخواهد بود!»,s29.25,قیامت,events
آن روز که قیامت برپا می‌شود، مجرمان در نومیدی و غم و اندوه فرو می‌روند!,s30.12,قیامت,events
آن روز که قیامت برپا می‌گردد،  از هم جدا می‌شوند؛,s30.14,قیامت,events
او زنده را از مرده بیرون می‌آورد، و مرده را از زنده، و زمین را پس از مردنش حیات می‌بخشد، و به همین گونه روز قیامت  بیرون آورده می‌شوید!,s30.19,قیامت,events
و روزی که قیامت برپا شود، مجرمان سوگند یاد می‌کنند که جز ساعتی  درنگ نکردند! اینچنین از درک حقیقت بازگردانده می‌شوند.,s30.55,قیامت,events
ولی کسانی که علم و ایمان به آنان داده شده می‌گویند: «شما بفرمان خدا تا روز قیامت  درنگ کردید، و اکنون روز رستاخیز است، امّا شما نمی‌دانستید!»,s30.56,قیامت,events
آگاهی از زمان قیام قیامت مخصوص خداست، و اوست که باران را نازل می‌کند، و آنچه را که در رحم‌ها  است می‌داند، و هیچ کس نمی‌داند فردا چه به دست می‌آورد، و هیچ کس نمی‌داند در چه سرزمینی می‌میرد؟ خداوند عالم و آگاه است!,s31.34,قیامت,events
البتّه پروردگار تو میان آنان روز قیامت در آنچه اختلاف داشتند داوری می‌کند !,s32.25,قیامت,events
