context,verse_id,answer,entity_type
او کسی است که از آسمان، آبی نازل کرد، و به وسیله آن، گیاهان گوناگون رویاندیم؛ و از آن، ساقه‌ها و شاخه‌های سبز، خارج ساختیم؛ و از آنها دانه‌های متراکم، و از شکوفه نخل، شکوفه‌هایی با رشته‌های باریک بیرون فرستادیم؛ و باغهایی از انواع انگور و زیتون و انار،  شبیه به یکدیگر، و  بی‌شباهت! هنگامی که میوه می دهد، به میوه آن و طرز رسیدنش بنگرید که در آن، نشانه‌هایی  برای افراد باایمان است!,s6.99,انار,foods
اوست که باغهای معروش ، و باغهای غیرمعروش  را آفرید؛ همچنین نخل و انواع زراعت را، که از نظر میوه و طعم با هم متفاوتند؛ و  درخت زیتون و انار را، که از جهتی با هم شبیه، و از جهتی تفاوت دارند؛  از میوه آن، به هنگامی که به ثمر می‌نشیند، بخورید! و حقّ آن را به هنگام درو، بپردازید! و اسراف نکنید، که خداوند مسرفان را دوست ندارد!,s6.141,انار,foods
در آنها میوه‌های فراوان و درخت خرما و انار است!,s55.68,انار,foods
قسم به انجیر و زیتون ،,s95.1,انجیر,foods
آیا کسی از شما دوست دارد که باغی از درختان خرما و انگور داشته باشد که از زیر درختان آن، نهرها بگذرد، و برای او در آن ، از هر گونه میوه‌ای وجود داشته باشد، در حالی که به سن پیری رسیده و فرزندانی  ضعیف دارد؛  گردبادی ، که در آن آتش  است، به آن برخورد کند و شعله‌ور گردد و بسوزد؟!  این چنین خداوند آیات خود را برای شما آشکار می‌سازد؛ شاید بیندیشید !,s2.266,خرما,foods
آیا ندیدی کسانی را که  به آنها گفته شد: «فعلا) ً دست از جهاد بدارید! و نماز را برپا کنید! و زکات بپردازید!» ، ولی هنگامی که  فرمان جهاد به آنها داده شد، جمعی از آنان، از مردم می‌ترسیدند، همان گونه که از خدا می‌ترسند، بلکه بیشتر! و گفتند: «پروردگارا! چرا جهاد را بر ما مقرّر داشتی؟! چرا این فرمان را تا زمان نزدیکی تأخیر نینداختی؟!» به آنها بگو: «سرمایه زندگی دنیا، ناچیز است! و سرای آخرت، برای کسی که پرهیزگار باشد، بهتر است! و به اندازه رشته شکافِ هسته خرمایی، به شما ستم نخواهد شد!,s4.77,خرما,foods
 روزی را که هر گروهی را با پیشوایشان می‌خوانیم! کسانی که نامه عملشان به دست راستشان داده شود، آن را  می‌خوانند؛ و بقدر رشته شکاف هسته خرمایی به آنان ستم نمی‌شود!,s17.71,خرما,foods
درد زایمان او را به کنار تنه درخت خرمایی کشاند؛  گفت: «ای کاش پیش از این مرده بودم، و بکلّی فراموش می‌شدم!»,s19.23,خرما,foods
او شب را در روز داخل می‌کند و روز را در شب؛ و خورشید و ماه را مسخّر  کرده، هر یک تا سرآمد معیّنی به حرکت خود ادامه می‌دهد؛ این است خداوند، پروردگار شما؛ حاکمیّت  از آن اوست: و کسانی را که جز او می‌خوانید  حتی به اندازه پوست نازک هسته خرما مالک نیستند!,s35.13,خرما,foods
و برای ماه منزلگاه‌هایی قرار دادیم،  سرانجام بصورت «شاخه کهنه قوسی شکل و زرد رنگ خرما» در می‌آید.,s36.39,خرما,foods
در آنها میوه‌های فراوان و درخت خرما و انار است!,s55.68,خرما,foods
و در گردنش طنابی است از لیف خرما!,s111.5,خرما,foods
او کسی است که از آسمان، آبی نازل کرد، و به وسیله آن، گیاهان گوناگون رویاندیم؛ و از آن، ساقه‌ها و شاخه‌های سبز، خارج ساختیم؛ و از آنها دانه‌های متراکم، و از شکوفه نخل، شکوفه‌هایی با رشته‌های باریک بیرون فرستادیم؛ و باغهایی از انواع انگور و زیتون و انار،  شبیه به یکدیگر، و  بی‌شباهت! هنگامی که میوه می دهد، به میوه آن و طرز رسیدنش بنگرید که در آن، نشانه‌هایی  برای افراد باایمان است!,s6.99,زیتون,foods
اوست که باغهای معروش ، و باغهای غیرمعروش  را آفرید؛ همچنین نخل و انواع زراعت را، که از نظر میوه و طعم با هم متفاوتند؛ و  درخت زیتون و انار را، که از جهتی با هم شبیه، و از جهتی تفاوت دارند؛  از میوه آن، به هنگامی که به ثمر می‌نشیند، بخورید! و حقّ آن را به هنگام درو، بپردازید! و اسراف نکنید، که خداوند مسرفان را دوست ندارد!,s6.141,زیتون,foods
خداوند با آن ، برای شما زراعت و زیتون و نخل و انگور، و از همه میوه‌ها می‌رویاند؛ مسلماً در این، نشانه روشنی برای اندیشمندان است.,s16.11,زیتون,foods
خداوند نور آسمانها و زمین است؛ مثل نور خداوند همانند چراغدانی است که در آن چراغی  باشد، آن چراغ در حبابی قرار گیرد، حبابی شفاف و درخشنده همچون یک ستاره فروزان، این چراغ با روغنی افروخته می‌شود که از درخت پربرکت زیتونی گرفته شده که نه شرقی است و نه غربی؛  نزدیک است بدون تماس با آتش شعله‌ور شود؛ نوری است بر فراز نوری؛ و خدا هر کس را بخواهد به نور خود هدایت می‌کند، و خداوند به هر چیزی داناست.,s24.35,زیتون,foods
و زیتون و نخل فراوان،,s80.29,زیتون,foods
قسم به انجیر و زیتون ،,s95.1,زیتون,foods
آن کس که زمین را بستر شما، و آسمان  را همچون سقفی بالای سر شما قرار داد؛ و از آسمان آبی فرو فرستاد؛ و به وسیله آن، میوه‌ها را پرورش داد؛ تا روزی شما باشد. بنابر این، برای خدا همتایانی قرار ندهید، در حالی که می‌دانید .,s2.22,میوه,foods
به کسانی که ایمان آورده، و کارهای شایسته انجام داده‌اند، بشارت ده که باغهایی از بهشت برای آنهاست که نهرها از زیر درختانش جاریست. هر زمان که میوه‌ای از آن، به آنان داده شود، می‌گویند: «این همان است که قبلا به ما روزی داده شده بود. » و میوه‌هایی که برای آنها آورده می‌شود، همه  یکسانند. و برای آنان همسرانی پاک و پاکیزه است، و جاودانه در آن خواهند بود.,s2.25,میوه,foods
قطعاً همه شما را با چیزی از ترس، گرسنگی، و کاهش در مالها و جانها و میوه‌ها، آزمایش می‌کنیم؛ و بشارت ده به استقامت‌کنندگان!,s2.155,میوه,foods
و  کسانی که اموال خود را برای خشنودی خدا، و تثبیت  روح خود، انفاق می‌کنند، همچون باغی است که در نقطه بلندی باشد، و بارانهای درشت به آن برسد،  و میوه خود را دو چندان دهد  و اگر باران درشت به آن نرسد، بارانی نرم به آن می‌رسد. و خداوند به آنچه انجام می‌دهید، بیناست.,s2.265,میوه,foods
آیا کسی از شما دوست دارد که باغی از درختان خرما و انگور داشته باشد که از زیر درختان آن، نهرها بگذرد، و برای او در آن ، از هر گونه میوه‌ای وجود داشته باشد، در حالی که به سن پیری رسیده و فرزندانی  ضعیف دارد؛  گردبادی ، که در آن آتش  است، به آن برخورد کند و شعله‌ور گردد و بسوزد؟!  این چنین خداوند آیات خود را برای شما آشکار می‌سازد؛ شاید بیندیشید !,s2.266,میوه,foods
او کسی است که از آسمان، آبی نازل کرد، و به وسیله آن، گیاهان گوناگون رویاندیم؛ و از آن، ساقه‌ها و شاخه‌های سبز، خارج ساختیم؛ و از آنها دانه‌های متراکم، و از شکوفه نخل، شکوفه‌هایی با رشته‌های باریک بیرون فرستادیم؛ و باغهایی از انواع انگور و زیتون و انار،  شبیه به یکدیگر، و  بی‌شباهت! هنگامی که میوه می دهد، به میوه آن و طرز رسیدنش بنگرید که در آن، نشانه‌هایی  برای افراد باایمان است!,s6.99,میوه,foods
اوست که باغهای معروش ، و باغهای غیرمعروش  را آفرید؛ همچنین نخل و انواع زراعت را، که از نظر میوه و طعم با هم متفاوتند؛ و  درخت زیتون و انار را، که از جهتی با هم شبیه، و از جهتی تفاوت دارند؛  از میوه آن، به هنگامی که به ثمر می‌نشیند، بخورید! و حقّ آن را به هنگام درو، بپردازید! و اسراف نکنید، که خداوند مسرفان را دوست ندارد!,s6.141,میوه,foods
او کسی است که بادها را بشارت دهنده در پیشاپیش  رحمتش می‌فرستد؛ تا ابرهای سنگین‌بار را  کشند؛  ما آنها را به سوی زمینهای مرده می‌فرستیم؛ و به وسیله آنها، آب  را نازل می‌کنیم؛ و با آن، از هرگونه میوه‌ای  بیرون می‌آوریم؛ این گونه  مردگان را  زنده می‌کنیم، شاید  متذکّر شوید!,s7.57,میوه,foods
