context,verse_id,answer,entity_type
و به موسی و برادرش وحی کردیم که: «برای قوم خود، خانه‌هایی در سرزمین مصر انتخاب کنید؛ و خانه‌هایتان را مقابل یکدیگر  قرار دهید! و نماز را برپا دارید! و به مؤمنان بشارت ده »,s10.87, مصر ,locations
و آن کس که او را از سرزمین مصر خرید ، به همسرش گفت: «مقام وی را گرامی دار، شاید برای ما سودمند باشد؛ و یا او را بعنوان فرزند انتخاب کنیم!» و اینچنین یوسف را در آن سرزمین متمکّن ساختیم!  از علم تعبیر خواب به او بیاموزیم؛ خداوند بر کار خود پیروز است، ولی بیشتر مردم نمی‌دانند!,s12.21, مصر ,locations
و هنگامی که بر یوسف وارد شدند، او پدر و مادر خود را در آغوش گرفت، و گفت: «همگی داخل مصر شوید، که انشاء الله در امن و امان خواهید بود!»,s12.99, مصر ,locations
فرعون در میان قوم خود ندا داد و گفت: «ای قوم من! آیا حکومت مصر از آن من نیست، و این نهرها تحت فرمان من جریان ندارد؟ آیا نمی‌بینید؟,s43.51, مصر ,locations
و  از آنچه شیاطین در عصر سلیمان بر مردم می‌خواندند پیروی کردند. سلیمان هرگز  کافر نشد؛ ولی شیاطین کفر ورزیدند؛ و به مردم سحر آموختند. و  از آنچه بر دو فرشته بابل «هاروت» و «ماروت»، نازل شد پیروی کردند.  به هیچ کس چیزی یاد نمی‌دادند، مگر اینکه از پیش به او می‌گفتند: «ما وسیله آزمایشیم کافر نشو! » ولی آنها از آن دو فرشته، مطالبی را می‌آموختند که بتوانند به وسیله آن، میان مرد و همسرش جدایی بیفکنند؛ ولی هیچ گاه نمی‌توانند بدون اجازه خداوند، به انسانی زیان برسانند. آنها قسمتهایی را فرامی‌گرفتند که به آنان زیان می‌رسانید و نفعی نمی‌داد. و مسلما می‌دانستند هر کسی خریدار این گونه متاع باشد، در آخرت بهره‌ای نخواهد داشت. و چه زشت و ناپسند بود آنچه خود را به آن فروختند، اگر می‌دانستند!!,s2.102,بابل,locations
نخستین خانه‌ای که برای مردم  قرار داده شد، همان است که در سرزمین مکّه است، که پر برکت، و مایه هدایت جهانیان است.,s3.96,مکّه,locations
او کسی است که دست آنها را از شما، و دست شما را از آنان در دل مکّه کوتاه کرد، بعد از آنکه شما را بر آنها پیروز ساخت؛ و خداوند به آنچه انجام می‌دهید بیناست!,s48.24,مکّه,locations
و از  اعراب بادیه‌نشین که اطراف شما هستند، جمعی منافقند؛ و از اهل مدینه ، گروهی سخت به نفاق پای بندند. تو آنها را نمی‌شناسی، ولی ما آنها را می شناسیم. بزودی آنها را دو بار مجازات می‌کنیم ؛ سپس بسوی مجازات بزرگی  فرستاده می‌شوند.,s9.101,مدینه,locations
سزاوار نیست که اهل مدینه، و بادیه‌نشینانی که اطراف آنها هستند، از رسول خدا تخلّف جویند؛ و برای حفظ جان خویش، از جان او چشم بپوشند! این بخاطر آن است که هیچ تشنگی و خستگی، و گرسنگی در راه خدا به آنها نمی‌رسد و هیچ گامی که موجب خشم کافران می‌شود برنمی‌دارند، و ضربه‌ای از دشمن نمی‌خورند، مگر اینکه به خاطر آن، عمل صالحی برای آنها نوشته می‌شود؛ زیرا خداوند پاداش نیکوکاران را تباه نمی‌کند!,s9.120,مدینه,locations
آنها چنان بودند که اگر دشمنان از اطراف مدینه بر آنان وارد می‌شدند و پیشنهاد بازگشت به سوی شرک به آنان می‌کردند می‌پذیرفتند، و جز مدّت کمی  درنگ نمی‌کردند!,s33.14,مدینه,locations
