context,verse_id,answer,entity_type
در دلهای آنان یک نوع بیماری است؛ خداوند بر بیماری آنان افزوده؛ و به خاطر دروغهایی که میگفتند، عذاب دردناکی در انتظار آنهاست.,s2.10, یک ,numbers
و اگر در باره آنچه بر بنده خود  نازل کرده‌ایم شک و تردید دارید،  یک سوره همانند آن بیاورید؛ و گواهان خود را - غیر خدا - برای این کار، فرا خوانید اگر راست می‌گویید!,s2.23, یک ,numbers
و  زمانی را که موسی برای قوم خویش، آب طلبید، به او دستور دادیم: «عصای خود را بر آن سنگ مخصوص بزن!» ناگاه دوازده چشمه آب از آن جوشید؛ آن‌گونه که هر یک ، چشمه مخصوص خود را می‌شناختند!  «از روزیهای الهی بخورید و بیاشامید! و در زمین فساد نکنید!»,s2.60, یک ,numbers
و  زمانی را که گفتید: «ای موسی! هرگز حاضر نیستیم به یک نوع غذا اکتفا کنیم! از خدای خود بخواه که از آنچه زمین می‌رویاند، از سبزیجات و خیار و سیر و عدس و پیازش، برای ما فراهم سازد.» موسی گفت: «آیا غذای پست‌تر را به جای غذای بهتر انتخاب می‌کنید؟!  در شهری فرود آئید؛ زیرا هر چه خواستید، در آنجا برای شما هست.» و  ذلت و نیاز، بر پیشانی آنها زده شد؛ و باز گرفتار خشم خدائی شدند؛ چرا که آنان نسبت به آیات الهی، کفر می‌ورزیدند؛ و پیامبران را به ناحق می‌کشتند. اینها به خاطر آن بود که گناهکار و متجاوز بودند.,s2.61, یک ,numbers
و پاره‌ای از آنان عوامانی هستند که کتاب خدا را جز یک مشت خیالات و آرزوها نمی‌دانند؛ و تنها به پندارهایشان دل بسته‌اند.,s2.78, یک ,numbers
و آنها را حریص‌ترین مردم -حتی حریصتر از مشرکان- بر زندگی  خواهی یافت؛  که هر یک از آنها آرزو دارد هزار سال عمر به او داده شود! در حالی که این عمر طولانی، او را از کیفر  باز نخواهد داشت. و خداوند به اعمال آنها بیناست.,s2.96, یک ,numbers
بگویید: «ما به خدا ایمان آورده‌ایم؛ و به آنچه بر ما نازل شده؛ و آنچه بر ابراهیم و اسماعیل و اسحاق و یعقوب و پیامبران از فرزندان او نازل گردید، و  آنچه به موسی و عیسی و پیامبران  از طرف پروردگار داده شده است، و در میان هیچ یک از آنها جدایی قائل نمی‌شویم، و در برابر فرمان خدا تسلیم هستیم؛ »,s2.136, یک ,numbers
مردم  یک دسته بودند؛  خداوند، پیامبران را برانگیخت؛ تا مردم را بشارت و بیم دهند و کتاب آسمانی، که به سوی حق دعوت می‌کرد، با آنها نازل نمود؛ تا در میان مردم، در آنچه اختلاف داشتند، داوری کند.  تنها  کسانی که کتاب را دریافت داشته بودند، و نشانه‌های روشن به آنها رسیده بود، به خاطر انحراف از حق و ستمگری، در آن اختلاف کردند. خداوند، آنهایی را که ایمان آورده بودند، به حقیقت آنچه مورد اختلاف بود، به فرمان خودش، رهبری نمود.  و خدا، هر کس را بخواهد، به راه راست هدایت می‌کند.,s2.213, یک ,numbers
و با زنان مشرک و بت‌پرست، تا ایمان نیاورده‌اند، ازدواج نکنید!  کنیز باایمان، از زن آزاد بت‌پرست، بهتر است؛ هر چند  شما را به شگفتی آورد. و زنان خود را به ازدواج مردان بت‌پرست، تا ایمان نیاورده‌اند، در نیاورید!  یک غلام باایمان، از یک مرد آزاد بت‌پرست، بهتر است؛ هر چند  شما را به شگفتی آورد. آنها دعوت به سوی آتش می‌کنند؛ و خدا دعوت به بهشت و آمرزش به فرمان خود می‌نماید، و آیات خویش را برای مردم روشن می‌سازد؛ شاید متذکر شوند!,s2.221, یک ,numbers
و کسانی که از شما در آستانه مرگ قرارمی‌گیرند و همسرانی از خود به‌جا می‌گذارند، باید برای همسران خود وصیت کنند که تا یک سال، آنها را  بهره‌مند سازند؛ به شرط اینکه آنها  بیرون نروند . و اگر بیرون روند،  گناهی بر شما نیست نسبت به آنچه در باره خود، به طور شایسته انجام می‌دهند. و خداوند، توانا و حکیم است.,s2.240, یک ,numbers
