context,verse_id,answer,entity_type
 هنگامی را که از کوه بالا میرفتید؛ و جمعی در وسط بیابان پراکنده شدند؛ و از شدت وحشت،) به عقب ماندگان نگاه نمی‌کردید، و پیامبر از پشت سر، شما را صدا می‌زد. سپس اندوه‌ها را یکی پس از دیگری به شما جزا داد؛ این بخاطر آن بود که دیگر برای از دست رفتن  غمگین نشوید، و نه بخاطر مصیبت‌هایی که بر شما وارد می‌گردد. و خداوند از آنچه انجام می‌دهید، آگاه است.,s3.153,بت‌ها,othres
آنها پیش از این  به آن کافر شدند و دورا دور، و غائبانه . نسبت‌های ناروا می‌دادند.,s34.53,بت‌ها,othres
بگو: «آیا شما را از کسانی که موقعیّت و پاداششان نزد خدا بدتر از این است، با خبر کنم؟ کسانی که خداوند آنها را از رحمت خود دور ساخته، و مورد خشم قرار داده،  و از آنها، میمونها و خوکهایی قرار داده، و پرستش بت کرده‌اند؛ موقعیّت و محل آنها، بدتر است؛ و از راه راست، گمراهترند.»,s5.60, بت ,othres
سرانجام ، همه آنها -جز بت بزرگشان- را قطعه قطعه کرد؛ شاید سراغ او بیایند !,s21.58, بت ,othres
آیا بت «بعل» را می‌خوانید و بهترین آفریدگارها را رها می‌سازید؟!,s37.125, بت ,othres
یا همچون بارانی از آسمان، که در شب تاریک همراه با رعد و برق و صاعقه  ببارد. آنها از ترس مرگ، انگشتانشان را در گوشهای خود می‌گذارند؛ تا صدای صاعقه را نشنوند. و خداوند به کافران احاطه دارد .,s2.19,باران,othres
ای کسانی که ایمان آورده‌اید! بخششهای خود را با منت و آزار، باطل نسازید! همانند کسی که مال خود را برای نشان دادن به مردم، انفاق می‌کند؛ و به خدا و روز رستاخیز، ایمان نمی‌آورد؛  همچون قطعه سنگی است که بر آن،  خاک باشد؛  و رگبار باران به آن برسد،  و آن را صاف  رها کند. آنها از کاری که انجام داده‌اند، چیزی به دست نمی‌آورند؛ و خداوند، جمعیت کافران را هدایت نمی‌کند.,s2.264,باران,othres
و  کسانی که اموال خود را برای خشنودی خدا، و تثبیت  روح خود، انفاق می‌کنند، همچون باغی است که در نقطه بلندی باشد، و بارانهای درشت به آن برسد،  و میوه خود را دو چندان دهد  و اگر باران درشت به آن نرسد، بارانی نرم به آن می‌رسد. و خداوند به آنچه انجام می‌دهید، بیناست.,s2.265,باران,othres
و هنگامی که در میان آنها باشی، و  برای آنها نماز را برپا کنی، باید دسته‌ای از آنها با تو  برخیزند، و سلاحهایشان را با خود برگیرند؛ و هنگامی که سجده کردند ، باید به پشتِ سرِ شما  بروند، و آن دسته دیگر که نماز نخوانده‌اند ، بیایند و با تو نماز بخوانند؛ آنها باید وسایل دفاعی و سلاحهایشان  با خود حمل کنند؛  کافران آرزو دارند که شما از سلاحها و متاعهای خود غافل شوید و یکباره به شما هجوم آورند. و اگر از باران ناراحتید، و یا بیمار  هستید، مانعی ندارد که سلاحهای خود را بر زمین بگذارید؛ ولی وسایل دفاعی  با خود بردارید خداوند، عذاب خوارکننده‌ای برای کافران فراهم ساخته است.,s4.102,باران,othres
آیا ندیدند چقدر از اقوام پیشین را هلاک کردیم؟! اقوامی که  قدرتهایی به آنها داده بودیم که به شما ندادیم؛ بارانهای پی‌درپی برای آنها فرستادیم؛ و از زیر  آنها، نهرها را جاری ساختیم؛  آنان را بخاطر گناهانشان نابود کردیم؛ و جمعیت دیگری بعد از آنان پدید آوردیم.,s6.6,باران,othres
و  بارانی  بر آنها فرستادیم؛  پس بنگر سرانجام کار مجرمان چه شد!,s7.84,باران,othres
و  زمانی را که گفتند: «پروردگارا! اگر این حق است و از طرف توست، بارانی از سنگ از آسمان بر ما فرود آر! یا عذاب دردناکی برای ما بفرست!»,s8.32,باران,othres
و هنگامی که فرمان ما فرا رسید، آن  را زیر و رو کردیم؛ و بارانی از سنگ  متراکم بر روی هم، بر آنها نازل نمودیم...,s11.82,باران,othres
سپس سالی فرامی‌رسد که باران فراوان نصیب مردم می‌شود؛ و در آن سال، مردم عصاره  می‌گیرند »,s12.49,باران,othres
سپس  بالای آن را پایین قرار دادیم؛ و بارانی از سنگ بر آنها فرو ریختیم!,s15.74,باران,othres
ای مردم! اگر در رستاخیز شک دارید،  ما شما را از خاک آفریدیم، سپس از نطفه، و بعد از خون بسته شده، سپس از «مضغه» ، که بعضی دارای شکل و خلقت است و بعضی بدون شکل؛ تا برای شما روشن سازیم ! و جنین‌هایی را که بخواهیم تا مدّت معیّنی در رحم  قرارمی‌دهیم؛  بعد شما را بصورت طفل بیرون می‌آوریم؛ سپس هدف این است که به حدّ رشد و بلوغ خویش برسید. در این میان بعضی از شما می‌میرند؛ و بعضی آن قدر عمر می‌کنند که به بدترین مرحله زندگی  می‌رسند؛ آنچنان که بعد از علم و آگاهی، چیزی نمی‌دانند!  زمین را  خشک و مرده می‌بینی، اما هنگامی که آب باران بر آن فرو می‌فرستیم، به حرکت درمی‌آید و می‌روید؛ و از هر نوع گیاهان زیبا می‌رویاند!,s22.5,باران,othres
آیا ندیدی که خداوند ابرهایی را به آرامی می‌راند، سپس میان آنها پیوند می‌دهد، و بعد آن را متراکم می‌سازد؟! در این حال، دانه‌های باران را می‌بینی که از لابه‌لای آن خارج می‌شود؛ و از آسمان -از کوه‌هایی که در آن است - دانه‌های تگرگ نازل می‌کند، و هر کس را بخواهد بوسیله آن زیان می‌رساند، و از هر کس بخواهد این زیان را برطرف می‌کند؛ نزدیک است درخشندگی برق آن  چشمها را ببرد!,s24.43,باران,othres
آنها  از کنار شهری که باران شرّ  بر آن باریده بود  گذشتند؛ آیا آن را نمی‌دیدند؟!  ولی به رستاخیز ایمان نداشتند!,s25.40,باران,othres
گفتند: «ای نوح! اگر  دست برنداری، سنگباران خواهی شد!»,s26.116,باران,othres
و بارانی  بر آنها فرستادیم؛ چه باران بدی بود باران انذارشدگان!,s26.173,باران,othres
اگر راست می‌گویی، سنگهایی از آسمان بر سر ما بباران!»,s26.187,باران,othres
