context,verse_id,answer,entity_type
سپس علم اسماء  را همگی به آدم آموخت. بعد آنها را به فرشتگان عرضه داشت و فرمود: «اگر راست می‌گویید، اسامی اینها را به من خبر دهید!»,s2.31,آدم,people
فرمود: «ای آدم! آنان را از اسامی  این موجودات آگاه کن.» هنگامی که آنان را آگاه کرد، خداوند فرمود: «آیا به شما نگفتم که من، غیب آسمانها و زمین را میدانم؟! و نیز میدانم آنچه را شما آشکار میکنید، و آنچه را پنهان میداشتید!»,s2.33,آدم,people
و  هنگامی را که به فرشتگان گفتیم: «برای آدم سجده و خضوع کنید!» همگی سجده کردند؛ جز ابلیس که سر باز زد، و تکبر ورزید،  از کافران شد.,s2.34,آدم,people
و گفتیم: «ای آدم! تو با همسرت در بهشت سکونت کن؛ و از  آن، از هر جا می‌خواهید، گوارا بخورید؛  نزدیک این درخت نشوید؛ که از ستمگران خواهید شد.,s2.35,آدم,people
سپس آدم از پروردگارش کلماتی دریافت داشت؛  و خداوند توبه او را پذیرفت؛ چرا که خداوند توبه‌پذیر و مهربان است.,s2.37,آدم,people
خداوند، آدم و نوح و آل ابراهیم و آل عمران را بر جهانیان برتری داد.,s3.33,آدم,people
مَثَل عیسی در نزد خدا، همچون آدم است؛ که او را از خاک آفرید، و سپس به او فرمود: «موجود باش!» او هم فوراً موجود شد. ,s3.59,آدم,people
و داستان دو فرزند آدم را بحقّ بر آنها بخوان: هنگامی که هر کدام، کاری برای تقرّب  انجام دادند؛ امّا از یکی پذیرفته شد، و از دیگری پذیرفته نشد؛  گفت: «به خدا سوگند تو را خواهم کشت!»  گفت: « خدا، تنها از پرهیزگاران می‌پذیرد!,s5.27,آدم,people
ما شما را آفریدیم؛ سپس صورت بندی کردیم؛ بعد به فرشتگان گفتیم: «برای آدم خضوع کنید!» آنها همه سجده کردند؛ جز ابلیس که از سجده‌کنندگان نبود.,s7.11,آدم,people
و ای آدم! تو و همسرت در بهشت ساکن شوید! و از هر جا که خواستید، بخورید! امّا به این درخت نزدیک نشوید، که از ستمکاران خواهید بود!»,s7.19,آدم,people
ای فرزندان آدم! لباسی برای شما فرستادیم که اندام شما را می‌پوشاند و مایه زینت شماست؛ اما لباس پرهیزگاری بهتر است! اینها  از آیات خداست، تا متذکّر  شوند!,s7.26,آدم,people
ای فرزندان آدم! شیطان شما را نفریبد، آن گونه که پدر و مادر شما را از بهشت بیرون کرد، و لباسشان را از تنشان بیرون ساخت تا عورتشان را به آنها نشان دهد! چه اینکه او و همکارانش شما را می‌بینند از جایی که شما آنها را نمی‌بینید؛  ما شیاطین را اولیای کسانی قرار دادیم که ایمان نمی‌آورند!,s7.27,آدم,people
ای فرزندان آدم! زینت خود را به هنگام رفتن به مسجد، با خود بردارید! و  بخورید و بیاشامید، ولی اسراف نکنید که خداوند مسرفان را دوست نمی‌دارد!,s7.31,آدم,people
ای فرزندان آدم! اگر رسولانی از خود شما به سراغتان بیایند که آیات مرا برای شما بازگو کنند،  کسانی که پرهیزگاری پیشه کنند و عمل صالح انجام دهند ، نه ترسی بر آنهاست و نه غمناک می شوند.,s7.35,آدم,people
و  زمانی را که پروردگارت از پشت و صلب فرزندان آدم، ذریه آنها را برگرفت؛ و آنها را گواه بر خویشتن ساخت؛  «آیا من پروردگار شما نیستم؟» گفتند: «آری، گواهی می‌دهیم!»  روز رستاخیز بگویید: «ما از این، غافل بودیم؛ »!,s7.172,آدم,people
از آنها کسانی هستند که پیامبر را آزار می‌دهند و می‌گویند: «او آدم خوش‌باوری است!» بگو: «خوش‌باور بودن او به نفع شماست!  او به خدا ایمان دارد؛ و  مؤمنان را تصدیق می‌کند؛ و رحمت است برای کسانی از شما که ایمان آورده‌اند!» و آنها که رسول خدا را آزار می‌دهند، عذاب دردناکی دارند!,s9.61,آدم,people
