context,verse_id,answer,entity_type
بسیاری از اهل کتاب، از روی حسد -که در وجود آنها ریشه دوانده- آرزو می‌کردند شما را بعد از اسلام و ایمان، به حال کفر باز گردانند؛ با اینکه حق برای آنها کاملا روشن شده است. شما آنها را عفو کنید و گذشت نمایید؛ تا خداوند فرمان خودش  را بفرستد؛ خداوند بر هر چیزی تواناست.,s2.109,اسلام,religions
کسانی که کتاب آسمانی به آنها داده‌ایم  آن را چنان که شایسته آن است می‌خوانند؛ آنها به پیامبر اسلام ایمان می‌آورند؛ و کسانی که به او کافر شوند، زیانکارند.,s2.121,اسلام,religions
در آن هنگام که پروردگارش به او گفت: اسلام بیاور!  گفت: «در برابر پروردگار جهانیان، تسلیم شدم.»,s2.131,اسلام,religions
و ابراهیم و یعقوب  فرزندان خود را به این آیین، وصیت کردند؛  «فرزندان من! خداوند این آیین پاک را برای شما برگزیده است؛ و شما، جز به آیین اسلام  از دنیا نروید!»,s2.132,اسلام,religions
دین در نزد خدا، اسلام  است. و کسانی که کتاب آسمانی به آنان داده شد، اختلافی  ایجاد نکردند، مگر بعد از آگاهی و علم، آن هم به خاطر ظلم و ستم در میان خود؛ و هر کس به آیات خدا کفر ورزد،  خداوند، سریع الحساب است.,s3.19,اسلام,religions
هنگامی که عیسی از آنان احساس کفر  کرد، گفت: «کیست که یاور من به سوی خدا  گردد؟» حواریان  گفتند: «ما یاوران خداییم؛ به خدا ایمان آوردیم؛ و تو  گواه باش که ما اسلام آورده‌ایم.,s3.52,اسلام,religions
و هر کس جز اسلام  آیینی برای خود انتخاب کند، از او پذیرفته نخواهد شد؛ و او در آخرت، از زیانکاران است.,s3.85,اسلام,religions
ای کسانی که ایمان آورده‌اید! هنگامی که در راه خدا گام می‌زنید ، تحقیق کنید! و بخاطر اینکه سرمایه ناپایدار دنیا  به دست آورید، به کسی که اظهار صلح و اسلام می‌کند نگویید: «مسلمان نیستی» زیرا غنیمتهای فراوانی  نزد خداست. شما قبلاً چنین بودید؛ و خداوند بر شما منّت نهاد . پس،  تحقیق کنید! خداوند به آنچه انجام می‌دهید آگاه است.,s4.94,اسلام,religions
گوشت مردار، و خون، و گوشت خوک، و حیواناتی که به غیر نام خدا ذبح شوند، و حیوانات خفه‌شده، و به زجر کشته شده، و آنها که بر اثر پرت‌شدن از بلندی بمیرند، و آنها که به ضرب شاخ حیوان دیگری مرده باشند، و باقیمانده صید حیوان درنده -مگر آنکه  آن را سرببرید- و حیواناتی که روی بتها  ذبح می‌شوند،  بر شما حرام شده است؛ و  قسمت کردن گوشت حیوان به وسیله چوبه‌های تیر مخصوص بخت آزمایی؛ تمام این اعمال، فسق و گناه است -امروز، کافران از  آیین شما، مأیوس شدند؛ بنابر این، از آنها نترسید! و از  من بترسید! امروز، دین شما را کامل کردم؛ و نعمت خود را بر شما تمام نمودم؛ و اسلام را به عنوان آیین  شما پذیرفتم- امّا آنها که در حال گرسنگی، دستشان به غذای دیگری نرسد، و متمایل به گناه نباشند،  خداوند، آمرزنده و مهربان است.,s5.3,اسلام,religions
آن کس را که خدا بخواهد هدایت کند، سینه‌اش را برای  اسلام، گشاده می سازد؛ و آن کس را که بخاطر اعمال خلافش بخواهد گمراه سازد، سینه‌اش را آنچنان تنگ می‌کند که گویا می‌خواهد به آسمان بالا برود؛ این گونه خداوند پلیدی را بر افرادی که ایمان نمی‌آورند قرار می‌دهد!,s6.125,اسلام,religions
